Category,System Model,System Mfg,Part Mfg,Part Number
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,micws
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,yn6005-s10
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,hws600-12
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,fr-d720-3
CT SCANNER,DISCOVERY-HD750,GE,GE,d3680
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,526260033
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,7119973a
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,526360030
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,mk-eh1
C ARM,BV-PULSERA,PHILIPS,PHILIPS,452216508232
CT SCANNER,BRIGHTSPEED-ELITE-16,GE,GE,5128609-13
CT SCANNER,REVOLUTION-ACT,GE,GE,5454391-4
MRI SCANNER,SIGNA-EXPLORER-15T,GE,GE,8311111
CATH ANGIO LAB,VARIOUS-CATH-LAB-ANGIO-SIEMENS,SIEMENS,SIEMENS,10606112
RAD FLUORO ROOM,AXIOM-ICONOS-R200-YSIO-F-S-AXIOM-LUMINOS-DRF-AXIOM-ARISTOS-MX-VX-VX-PLUS-YSIO-MAX-AXIOM-LUMINOS-TF-LUMINOS-RF-CLASSIC,SIEMENS,SIEMENS,3345209
CT SCANNER,INGENUITY-64-BRILLIANCE-ICT-256,PHILIPS,PHILIPS,459800266081
CT SCANNER,BRIGHTSPEED-ELITE-16-LIGHTSPEED-RT-16,GE,GE,522300961
CT SCANNER,LIGHTSPEED-RT-16-LIGHTSPEED-VCT-64,GE,GE,frno4c1s-6g
CT SCANNER,LIGHTSPEED-RT-4-LIGHTSPEED-RT-16,GE,GE,5139591-3
CT SCANNER,ASTEION-S4,TOSHIBACANON,TOSHIBACANON,px71-07303
CT SCANNER,AQUILION-64-AQUILION-16,TOSHIBACANON,TOSHIBACANON,cxb-750d-4a
CATH ANGIO LAB,ALLURA-XPER-FD10-ALLURA-XPER-FD20,PHILIPS,PHILIPS,452270000144
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,989000085101
CT SCANNER,BRILLIANCE-16,PHILIPS,PHILIPS,459800166651
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,pu440k-0019p2
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,d5t64eaabz
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,pu440k-0019p1
CT SCANNER,OPTIMA-CT540,GE,GE,5391247-20
CATH ANGIO LAB,AXIOM-ARTIS,SIEMENS,SIEMENS,10141023
CT SCANNER,LIGHTSPEED-PRO-16,GE,GE,2259862-2
CT SCANNER,OPTIMA-CT540,GE,GE,5391247-3
CATH ANGIO LAB,ALLURA-XPER-FD10,PHILIPS,PHILIPS,452230023244
MRI SCANNER,GYROSCAN-INTERA-15T,PHILIPS,PHILIPS,4522-150-10282
ULTRASOUND GENERAL,ALPHA,ESAOTE,ESAOTE,32118-img1dow-r1
C ARM,OEC-FLUOROSTAR-7900,GE,GE,vgl-1000-rxfo
RAD ROOM,DEFINIUM-8000,GE,GE,5147707-2
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,ka13155404-1
CT SCANNER,DISCOVERY-CT750-DISCOVERY-HD750,GE,GE,5194002
CT SCANNER,DISCOVERY-HD750,GE,GE,5311645-3
CT SCANNER,AQUILION-64,TOSHIBACANON,TOSHIBACANON,bx78-0557a
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,459801498681
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,451210506073
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,459801537661
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,459800304162
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,ka13267404
ULTRASOUND GENERAL,CX50,PHILIPS,PHILIPS,453561673943
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,gs-4570a
MRI SCANNER,PANORAMA-10T,PHILIPS,PHILIPS,452215039031
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,459800839821
CATH ANGIO LAB,ALLURA-XPER-FD10,PHILIPS,PHILIPS,991932252091
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,453567331222
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,459800455105
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,453567375441
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,459800477441
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,459800839911
MRI SCANNER,MULTIVA-15T,PHILIPS,PHILIPS,459800688764
MRI SCANNER,SIGNA-EXCITE-HDXT-15T-15X-SIGNA-EXCITE-HDE-HDXT-15T,GE,GE,46-317724g2
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,451920550891
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,7717510
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,nns50-24
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,qt20241
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,62497215
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,7129310
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,3549h-547-202b
CT SCANNER,BRILLIANCE-64,PHILIPS,PHILIPS,459800842442
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452215034254
CT SCANNER,BRIGHTSPEED-ELITE-16,GE,GE,5138524
MRI SCANNER,SIGNA-ECHOSPEED-15T,GE,GE,46-317758p53
CT SCANNER,BRIGHTSPEED-ELITE-16,GE,GE,5138524-4
CT SCANNER,BRIGHTSPEED,GE,GE,5248954
MRI SCANNER,INGENIA-PROVIDA-15T,PHILIPS,PHILIPS,452213315171
CATH ANGIO LAB,INNOVA-3100,GE,GE,5196885
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,459800415535
CT SCANNER,AQUILION-ONE,TOSHIBACANON,TOSHIBACANON,px71-08367b
CATH ANGIO LAB,ALLURA-XPER-FD10,PHILIPS,PHILIPS,459800066872
RAD ROOM,DISCOVERY-XR656,GE,GE,2409243-2
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,6589811
MRI SCANNER,INGENIA-15T,PHILIPS,PHILIPS,459800524715
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,10590733
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,453567378942
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452230035473
MRI SCANNER,MAGNETOM-ESSENZA,SIEMENS,SIEMENS,10394679
MRI SCANNER,INTERA-15T,PHILIPS,PHILIPS,452213135168
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,10765461
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,10765462
MRI SCANNER,SIGNA-EXCITEHD-15T,GE,GE,2378848-2
CATH ANGIO LAB,INNOVA-2100IQ,GE,GE,5341164
CATH ANGIO LAB,INNOVA-2100IQ,GE,GE,5179871-2
MRI SCANNER,SIGNA-HDXT-30T,GE,GE,5329312-3
CT SCANNER,DISCOVERY-RT-16-OPTIMA-CT540-BRIVO-CT385,GE,GE,5342001
MRI SCANNER,INGENIA-15T,PHILIPS,PHILIPS,452215023091
PORTABLE X-RAY,AMX-4,GE,GE,2409241
RAD ROOM,MULTIX-COMPACT-K,SIEMENS,SIEMENS,7123990
MRI SCANNER,INTERA-ACHIEVA-15T,PHILIPS,PHILIPS,459800324301
CT SCANNER,INCISIVE-CT,PHILIPS,PHILIPS,989000086652
CT SCANNER,SUPRIA,HITACHI,HITACHI,cog599xx
MRI SCANNER,DISCOVERY-MR450,GE,GE,5304386
CT SCANNER,BRIGHTSPEED,GE,GE,2369766
CT SCANNER,BRIGHTSPEED,GE,GE,5248955
C ARM,BV-LIBRA,PHILIPS,PHILIPS,452230014851
MRI SCANNER,ACHIEVA-30T,PHILIPS,PHILIPS,452215036471
MRI SCANNER,SIGNA-HDXT-30T,GE,GE,5250095
MRI SCANNER,DISCOVERY-MR750-30T,GE,GE,2273967-2
MRI SCANNER,DISCOVERY-MR750-30T,GE,GE,2273967
MRI SCANNER,INGENIA-15T-INGENIA-30T,PHILIPS,PHILIPS,453567321855
MRI SCANNER,SIGNA-EXCITE-HDE-HDXT-15T,GE,GE,2308900
CT SCANNER,REVOLUTION-ACT,GE,GE,5454981-3
CT SCANNER,LIGHTSPEED-VCT-64,GE,GE,5272157-3
PORTABLE X-RAY,TMX,GE,GE,2391402
C ARM,OEC-7700,GE,GE,00-453401-03
MRI SCANNER,PROFILE-3,GE,GE,2206302
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,11365960
MAMMO UNIT,SENOGRAPHE-2000D,GE,GE,5311080
C ARM,CIOS-CONNECT-MOBILETT-ELARA-MAX,SIEMENS,SIEMENS,10862128
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,459800772213
CT SCANNER,LIGHTSPEED-VCT-64,GE,GE,5113711
CT SCANNER,LIGHTSPEED-VCT-64-LIGHTSPEED-RT-16,GE,GE,552000461
PORTABLE X-RAY,OPTIMA-XR220,GE,GE,5589310
CT SCANNER,SOMATOM-EMOTION-SPIRIT,SIEMENS,SIEMENS,10355215
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213168508
MRI SCANNER,SIGNA-EXCITEHD-15T,GE,GE,46-305000p1
CT SCANNER,BRILLIANCE-ICT-128,PHILIPS,PHILIPS,453567529191
C ARM,OEC-9800-ESP,GE,GE,879926-02
CATH ANGIO LAB,VARIOUS-CATH-LAB-ANGIO-PHILIPS,PHILIPS,PHILIPS,459800025451
CATH ANGIO LAB,VARIOUS-CATH-LAB-ANGIO-PHILIPS,PHILIPS,PHILIPS,453564260871
RAD ROOM,SILHOUETTE-VR,GE,GE,2226325-19
CT SCANNER,LIGHTSPEED-VCT-64,GE,GE,5124291
